user_id,age,gender,education_level,employment_status,job_title,monthly_income_usd,monthly_expenses_usd,savings_usd,loan_status,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,record_date
U00020,22,Male,Bachelor,Employed,Engineer,3521,1148,420218,No,Personal,0,0,0,0,0,345,10,Other,7/22/2022
U00021,23,Male,High School,Student,Engineer,8238,7317,83623,Yes,Business,425717,36,13258,8,2,622,1,Europe,3/24/2023
U00022,49,Female,Bachelor,Employed,Teacher,7093,3501,723649,Yes,Home,180386,240,2287,14,0,707,9,Other,3/14/2023
U00023,24,Female,Master,Self-employed,Driver,1695,604,118471,Yes,Education,78366,180,1316,19,1,641,6,North America,11/25/2023
U00024,69,Male,Bachelor,Employed,Salesperson,998,612,92533,Yes,Education,229175,180,1741,4,2,649,8,Asia,5/22/2022
U00025,57,Female,Other,Employed,Driver,2676,1508,28158,Yes,Education,41356,360,745,22,0,357,1,Europe,12/11/2021
U00026,18,Male,Bachelor,Employed,Accountant,5705,3971,196568,No,Personal,0,0,0,0,0,746,3,Other,5/6/2022
U00027,39,Female,High School,Employed,Driver,3525,1265,210117,No,Personal,0,0,0,0,0,588,5,Other,1/20/2023
U00028,40,Male,PhD,Unemployed,Doctor,7744,4064,585077,No,Personal,0,0,0,0,0,624,6,Other,6/14/2024
U00029,21,Female,PhD,Student,Doctor,500,343,27820,No,Personal,0,0,0,0,0,567,5,Asia,2/1/2022
U00030,18,Other,PhD,Employed,Teacher,6561,2122,489775,Yes,Home,160169,24,7394,10,1,495,6,Europe,11/29/2022
U00031,67,Female,Master,Self-employed,Salesperson,4101,2273,281937,No,Personal,0,0,0,0,0,398,6,Africa,1/16/2023
U00032,35,Male,Bachelor,Unemployed,Salesperson,4989,2211,408943,No,Personal,0,0,0,0,0,572,7,North America,10/14/2024
U00033,37,Female,Bachelor,Unemployed,Engineer,3177,2777,259278,No,Personal,0,0,0,0,0,805,7,Other,9/30/2022
U00034,22,Male,Bachelor,Self-employed,Doctor,5968,5179,561104,Yes,Education,247716,240,6187,30,1,432,8,Asia,4/23/2024
U00035,40,Female,Master,Student,Accountant,5228,1885,58508,No,Personal,0,0,0,0,0,469,1,North America,7/8/2023
U00036,67,Female,High School,Employed,Unemployed,6716,5990,306664,Yes,Business,119106,240,2948,30,0,431,4,Africa,4/13/2025
U00037,23,Female,Bachelor,Employed,Student,5715,2096,341341,Yes,Business,286165,60,5560,6,1,660,5,North America,12/28/2023
U00038,20,Female,Other,Employed,Engineer,3680,1287,235419,No,Personal,0,0,0,0,0,357,5,Africa,10/4/2022
U00039,62,Other,High School,Unemployed,Unemployed,5687,1964,119125,Yes,Car,227816,120,4681,22,1,558,2,North America,4/18/2023
U00040,28,Male,Other,Unemployed,Manager,1867,1255,63776,Yes,Home,194746,24,9003,10,5,340,3,Africa,2/15/2022
U00041,44,Female,Bachelor,Employed,Doctor,971,369,9954,No,Personal,0,0,0,0,0,555,1,Other,7/30/2024
U00042,64,Female,High School,Unemployed,Salesperson,5359,1693,246121,No,Personal,0,0,0,0,0,523,4,North America,4/16/2022
U00043,28,Female,Bachelor,Student,Engineer,3771,2070,127007,Yes,Home,346165,120,9123,30,2,736,3,Other,7/25/2023
U00044,54,Female,Bachelor,Employed,Accountant,6476,2445,741727,No,Personal,0,0,0,0,0,745,10,North America,4/10/2022
U00045,66,Female,High School,Employed,Student,4485,3424,282514,No,Personal,0,0,0,0,0,353,5,Africa,11/19/2024
U00046,22,Male,Master,Employed,Student,8095,6096,606242,No,Personal,0,0,0,0,0,734,6,Africa,12/14/2022
U00047,51,Male,Bachelor,Employed,Driver,3461,2106,326383,Yes,Car,262278,12,25394,29,7,437,8,North America,2/26/2022
U00048,27,Female,High School,Employed,Unemployed,5435,3237,218793,No,Personal,0,0,0,0,0,410,3,North America,4/17/2024
U00049,40,Male,High School,Employed,Manager,5120,2801,538000,No,Personal,0,0,0,0,0,360,9,Europe,9/11/2021
U00050,68,Male,High School,Employed,Unemployed,2176,769,33793,No,Personal,0,0,0,0,0,645,1,Europe,4/14/2025
U00051,66,Female,Master,Employed,Accountant,7929,4813,157373,Yes,Education,139162,12,11931,5,2,552,2,Africa,5/26/2025
U00052,32,Female,PhD,Employed,Student,3606,2231,312953,Yes,Car,126966,240,2312,22,1,662,7,Africa,5/4/2022
U00053,62,Female,Bachelor,Employed,Accountant,2458,1569,248428,Yes,Home,60761,12,5406,12,2,324,8,Africa,12/26/2021
U00054,27,Female,Bachelor,Employed,Unemployed,5152,3360,462466,No,Personal,0,0,0,0,0,724,7,Other,5/24/2024
U00055,23,Female,Master,Employed,Unemployed,1203,434,23287,Yes,Business,425558,300,9661,27,8,542,2,Other,6/30/2024
U00056,53,Other,Master,Employed,Doctor,5126,1554,599930,No,Personal,0,0,0,0,0,740,10,Europe,8/18/2022
U00057,32,Female,Bachelor,Unemployed,Salesperson,2871,1594,176572,Yes,Car,353908,180,5876,19,2,438,5,Africa,3/6/2023
U00058,30,Female,High School,Employed,Salesperson,1996,675,237129,Yes,Home,44846,120,434,3,0,849,10,Asia,8/17/2022
U00059,47,Male,Master,Self-employed,Teacher,4742,4093,107795,Yes,Business,361077,300,7642,25,2,528,2,Africa,12/16/2024
U00060,47,Female,High School,Employed,Doctor,2792,1367,198488,No,Personal,0,0,0,0,0,594,6,Asia,12/13/2023
U00061,55,Female,Bachelor,Employed,Engineer,3522,2205,383467,No,Personal,0,0,0,0,0,497,9,Asia,1/20/2023
U00062,24,Female,Master,Employed,Engineer,5646,3501,606372,No,Personal,0,0,0,0,0,849,9,North America,3/19/2025
U00063,50,Female,Master,Employed,Doctor,7020,5799,293693,No,Personal,0,0,0,0,0,458,3,Africa,5/21/2022
U00064,62,Male,Bachelor,Self-employed,Salesperson,4804,2843,239165,No,Personal,0,0,0,0,0,710,4,Asia,3/10/2024
U00065,68,Female,Master,Employed,Doctor,500,289,56869,Yes,Education,70419,24,3567,20,7,759,9,Africa,6/25/2023
U00066,53,Female,Master,Employed,Engineer,6992,4515,512365,No,Personal,0,0,0,0,0,328,6,North America,7/19/2023
U00067,39,Female,High School,Employed,Doctor,4111,2692,199823,Yes,Education,103584,360,444,3,0,543,4,North America,7/30/2021
U00068,43,Female,Bachelor,Employed,Teacher,6188,5267,439027,Yes,Car,71288,300,1116,19,0,479,6,Other,2/4/2024
U00069,41,Male,Master,Employed,Teacher,1966,1723,37074,No,Personal,0,0,0,0,0,775,2,Other,12/23/2024
U00070,57,Female,Bachelor,Employed,Student,5033,2799,484278,Yes,Home,96153,300,1525,19,0,670,8,Europe,5/30/2025
U00071,19,Female,Bachelor,Employed,Driver,3315,2708,376536,Yes,Home,448818,24,21558,14,7,386,9,Africa,11/15/2023
U00072,49,Female,Master,Employed,Student,3257,1473,79794,No,Personal,0,0,0,0,0,627,2,North America,6/20/2022
U00073,64,Female,Master,Employed,Manager,3519,2581,361989,No,Personal,0,0,0,0,0,751,9,Africa,11/20/2021
U00074,54,Male,Bachelor,Employed,Teacher,3250,1000,36919,Yes,Car,62266,36,2274,19,1,381,1,Europe,4/29/2025
U00075,18,Female,Bachelor,Employed,Teacher,3341,2668,141034,No,Personal,0,0,0,0,0,525,4,Other,7/15/2024
U00076,61,Male,Other,Self-employed,Engineer,3806,3125,224981,No,Personal,0,0,0,0,0,427,5,North America,11/3/2022
U00077,67,Male,Bachelor,Employed,Accountant,2754,2206,325411,No,Personal,0,0,0,0,0,408,10,Europe,7/23/2024
U00078,40,Female,Master,Employed,Doctor,3164,1895,29044,No,Personal,0,0,0,0,0,677,1,Africa,11/8/2021
U00079,40,Male,High School,Employed,Unemployed,2187,1487,131035,No,Personal,0,0,0,0,0,700,5,Europe,7/5/2023
U00080,38,Male,Bachelor,Employed,Unemployed,5689,4226,62785,No,Personal,0,0,0,0,0,328,1,Other,7/4/2023
U00081,28,Male,Bachelor,Self-employed,Student,5082,2734,582120,Yes,Business,108255,60,2724,18,1,766,10,Asia,8/26/2023
U00082,69,Male,Bachelor,Employed,Teacher,4266,2875,245456,Yes,Business,364366,360,6699,22,2,341,5,North America,8/24/2024
U00083,56,Male,High School,Employed,Driver,5244,2709,63343,No,Personal,0,0,0,0,0,316,1,Europe,6/16/2022
U00084,66,Male,Bachelor,Unemployed,Manager,860,587,78540,No,Personal,0,0,0,0,0,499,8,North America,9/14/2024
U00085,35,Female,Bachelor,Student,Student,500,186,44023,Yes,Business,485558,240,9980,24,20,522,7,Africa,11/7/2021
U00086,56,Male,Bachelor,Self-employed,Manager,3441,1507,53416,Yes,Education,265602,240,3287,14,1,338,1,North America,3/29/2025
U00087,21,Female,Bachelor,Self-employed,Teacher,5427,4229,649884,Yes,Home,45183,120,755,16,0,571,10,Africa,9/27/2021
U00088,64,Male,High School,Employed,Doctor,4094,3040,121047,Yes,Home,149204,24,6954,11,2,592,2,North America,4/8/2025
U00089,65,Male,Other,Employed,Engineer,2093,1829,200938,Yes,Business,209373,300,4694,27,2,643,8,Asia,2/5/2024
U00090,30,Other,Master,Employed,Manager,3450,2986,270385,No,Personal,0,0,0,0,0,792,7,Europe,5/18/2024
U00091,60,Male,Bachelor,Employed,Driver,4937,3347,132805,No,Personal,0,0,0,0,0,319,2,Europe,9/13/2022
U00092,66,Male,Bachelor,Self-employed,Engineer,5016,1968,492212,Yes,Business,374188,360,5949,19,1,656,8,Europe,10/10/2023
U00093,28,Female,Bachelor,Employed,Accountant,3862,3317,341950,Yes,Business,186972,300,3409,22,1,475,7,Europe,8/15/2021
U00094,35,Male,Bachelor,Self-employed,Salesperson,3625,3244,30841,No,Personal,0,0,0,0,0,617,1,Other,10/19/2022
U00095,68,Female,Bachelor,Self-employed,Engineer,4480,3114,458081,No,Personal,0,0,0,0,0,662,9,Other,3/31/2025
U00096,42,Female,High School,Self-employed,Student,4611,3823,532142,No,Personal,0,0,0,0,0,330,10,Europe,7/16/2025
U00097,27,Female,Bachelor,Student,Teacher,4837,2924,9473,Yes,Home,163890,360,2747,20,1,522,0,Europe,12/18/2024
U00098,41,Female,High School,Employed,Student,4801,2999,554991,Yes,Business,90569,120,995,6,0,495,10,Africa,8/15/2021
U00099,49,Female,PhD,Employed,Unemployed,3532,1182,35581,No,Personal,0,0,0,0,0,569,1,Other,2/6/2022
U00100,29,Female,High School,Self-employed,Student,7694,2611,760096,Yes,Business,385433,240,5087,15,1,729,8,Europe,2/5/2024
U00101,46,Female,High School,Unemployed,Student,2915,2343,271109,Yes,Car,137357,12,13324,29,5,739,8,Africa,2/18/2024
U00102,46,Female,Bachelor,Self-employed,Unemployed,5754,4351,309260,Yes,Home,447156,24,20377,9,4,823,4,Europe,1/16/2024
U00103,32,Male,Bachelor,Employed,Accountant,4685,3573,475855,No,Personal,0,0,0,0,0,686,8,Other,10/10/2021
U00104,61,Male,PhD,Self-employed,Accountant,4914,1478,355155,No,Personal,0,0,0,0,0,820,6,North America,6/3/2024
U00105,39,Female,Bachelor,Self-employed,Engineer,3095,2043,110968,No,Personal,0,0,0,0,0,401,3,North America,9/27/2024
U00106,25,Female,Master,Employed,Accountant,500,321,1691,No,Personal,0,0,0,0,0,391,0,Africa,9/21/2022
U00107,50,Female,High School,Employed,Teacher,6046,2113,599502,Yes,Car,67225,240,580,8,0,421,8,Europe,3/13/2024
U00108,32,Male,High School,Employed,Driver,4183,3504,300600,No,Personal,0,0,0,0,0,522,6,North America,3/27/2023
U00109,67,Female,PhD,Self-employed,Doctor,6099,2123,655680,No,Personal,0,0,0,0,0,613,9,Europe,5/11/2025
U00110,20,Male,High School,Employed,Teacher,2930,985,89514,Yes,Education,308255,36,12976,29,4,655,3,Other,10/29/2021
U00111,25,Female,Bachelor,Employed,Teacher,5012,2987,54557,No,Personal,0,0,0,0,0,744,1,Other,1/10/2025
U00112,32,Male,Bachelor,Unemployed,Manager,500,278,21149,Yes,Business,252918,24,13678,26,27,719,4,Europe,3/15/2023
U00113,51,Female,Master,Student,Unemployed,2224,1179,125718,No,Personal,0,0,0,0,0,819,5,Africa,7/5/2025
U00114,65,Female,Master,Employed,Teacher,1274,521,130833,No,Personal,0,0,0,0,0,617,9,Africa,5/5/2025
U00115,64,Female,Bachelor,Self-employed,Student,3275,2888,104366,No,Personal,0,0,0,0,0,748,3,Africa,10/15/2021
U00116,53,Other,Bachelor,Employed,Driver,1761,995,71324,No,Personal,0,0,0,0,0,660,3,North America,9/18/2021
U00117,22,Male,Master,Self-employed,Unemployed,5694,3330,577886,No,Personal,0,0,0,0,0,455,8,Africa,4/13/2024
U00118,37,Male,High School,Employed,Doctor,6445,2133,497763,Yes,Education,467004,120,5136,6,1,505,6,Africa,9/30/2024
U00119,59,Male,Bachelor,Self-employed,Teacher,911,559,38180,No,Personal,0,0,0,0,0,450,3,Other,7/31/2023
U00120,69,Female,Bachelor,Self-employed,Teacher,5007,2068,440717,Yes,Home,434203,180,4637,10,1,492,7,Europe,9/21/2023
U00121,60,Female,Bachelor,Self-employed,Manager,4747,1746,454299,No,Personal,0,0,0,0,0,300,8,Asia,10/31/2021
U00122,48,Female,Bachelor,Self-employed,Teacher,5014,4511,34735,No,Personal,0,0,0,0,0,388,1,Other,3/25/2023
U00123,26,Male,Bachelor,Employed,Teacher,630,442,61260,No,Personal,0,0,0,0,0,578,8,Asia,3/22/2025
U00124,62,Female,High School,Employed,Accountant,2133,1060,162221,No,Personal,0,0,0,0,0,442,6,Other,3/19/2022
U00125,36,Male,Bachelor,Employed,Engineer,3394,2214,71990,No,Personal,0,0,0,0,0,302,2,Other,8/25/2023
U00126,43,Female,Master,Student,Accountant,3931,2076,190949,No,Personal,0,0,0,0,0,599,4,Africa,7/15/2023
U00127,32,Male,Bachelor,Self-employed,Salesperson,5518,2461,614313,Yes,Education,240112,36,7276,6,1,672,9,Africa,12/8/2023
U00128,63,Male,Master,Employed,Doctor,4562,3333,222228,No,Personal,0,0,0,0,0,389,4,North America,10/20/2024
U00129,47,Male,Master,Employed,Student,5898,2425,650117,No,Personal,0,0,0,0,0,684,9,Africa,3/12/2025
U00130,62,Female,Other,Self-employed,Unemployed,2676,1630,191886,No,Personal,0,0,0,0,0,309,6,Europe,8/10/2021
U00131,59,Female,Bachelor,Employed,Salesperson,6140,4977,497102,No,Personal,0,0,0,0,0,738,7,Europe,3/25/2025
U00132,22,Male,Master,Unemployed,Student,2174,1351,48698,Yes,Car,303940,360,3493,14,2,808,2,North America,9/7/2022
U00133,42,Other,High School,Self-employed,Driver,500,367,1540,Yes,Home,52951,180,876,19,2,466,0,Other,12/18/2023
U00134,63,Male,Master,Employed,Accountant,500,247,14063,Yes,Business,221763,24,11404,21,23,727,2,Asia,10/24/2022
U00135,49,Female,Master,Self-employed,Unemployed,3507,1453,26014,Yes,Home,279334,24,13551,15,4,415,1,Africa,7/18/2022
U00136,53,Other,Master,Self-employed,Student,924,574,11720,No,Personal,0,0,0,0,0,311,1,North America,11/4/2021
U00137,33,Female,Master,Student,Student,1815,1626,202101,No,Personal,0,0,0,0,0,585,9,Other,2/5/2025
U00138,37,Female,High School,Self-employed,Engineer,3367,2239,206787,Yes,Education,19044,12,1667,9,0,660,5,Other,11/25/2023
U00139,19,Female,Bachelor,Employed,Doctor,4387,3615,89565,No,Personal,0,0,0,0,0,442,2,Africa,6/3/2023
U00140,54,Male,Bachelor,Employed,Unemployed,3807,3010,176734,No,Personal,0,0,0,0,0,761,4,Asia,4/28/2022
U00141,33,Male,Master,Employed,Driver,5073,2575,594063,No,Personal,0,0,0,0,0,836,10,Europe,11/29/2022
U00142,42,Male,Bachelor,Self-employed,Engineer,2203,1462,202812,Yes,Car,476446,180,4269,7,2,416,8,Europe,2/13/2023
U00143,25,Male,Bachelor,Employed,Doctor,2121,1452,56990,No,Personal,0,0,0,0,0,359,2,Asia,10/22/2022
U00144,48,Male,Master,Employed,Teacher,3712,2193,337053,No,Personal,0,0,0,0,0,762,8,North America,1/30/2024
U00145,40,Male,High School,Employed,Driver,5097,3419,389532,Yes,Education,307995,60,6199,8,1,719,6,Africa,4/24/2022
U00146,55,Male,High School,Unemployed,Driver,2155,1122,108616,No,Personal,0,0,0,0,0,809,4,Europe,3/2/2024
U00147,44,Male,Master,Employed,Student,4218,1810,11134,Yes,Education,100229,120,2562,29,1,463,0,North America,7/4/2022
U00148,52,Male,Master,Employed,Student,1763,687,28753,No,Personal,0,0,0,0,0,526,1,North America,11/2/2021
U00149,46,Male,Bachelor,Self-employed,Engineer,6285,3536,197683,No,Personal,0,0,0,0,0,531,3,Other,7/11/2024
U00150,45,Female,Master,Unemployed,Manager,1758,767,187898,No,Personal,0,0,0,0,0,472,9,Asia,11/10/2022
U00151,22,Female,Bachelor,Self-employed,Manager,4474,1536,43242,Yes,Education,254781,300,2786,13,1,665,1,Africa,7/9/2023
U00152,28,Other,PhD,Self-employed,Driver,3090,1250,39833,No,Personal,0,0,0,0,0,651,1,Europe,1/1/2024
U00153,55,Male,Bachelor,Unemployed,Manager,5214,2759,133671,Yes,Home,131096,360,2233,20,0,677,2,Europe,2/27/2025
U00154,27,Female,Bachelor,Student,Unemployed,6622,3918,731974,No,Personal,0,0,0,0,0,587,9,Africa,6/16/2022
U00155,51,Male,Bachelor,Student,Student,3523,2220,166888,Yes,Business,121106,120,2442,21,1,734,4,North America,8/14/2022
U00156,38,Male,Master,Unemployed,Engineer,2442,1111,160753,No,Personal,0,0,0,0,0,601,5,Africa,9/5/2023
U00157,49,Male,Bachelor,Student,Unemployed,7460,2721,616278,Yes,Home,107542,36,3324,7,0,343,7,Other,9/2/2022
U00158,39,Female,Bachelor,Employed,Unemployed,4600,2940,382014,No,Personal,0,0,0,0,0,666,7,North America,8/1/2023
U00159,54,Male,Bachelor,Employed,Engineer,5078,2370,123106,No,Personal,0,0,0,0,0,790,2,North America,12/1/2021
U00160,27,Female,Master,Self-employed,Teacher,4683,2404,441699,No,Personal,0,0,0,0,0,533,8,Europe,12/16/2021
U00161,29,Female,Bachelor,Student,Accountant,6253,5035,356868,No,Personal,0,0,0,0,0,431,5,Other,7/24/2024
U00162,21,Female,Master,Employed,Salesperson,5568,3886,7925,Yes,Home,310175,60,6274,8,1,319,0,North America,9/26/2024
U00163,24,Female,Master,Employed,Student,3512,2079,254258,No,Personal,0,0,0,0,0,487,6,Africa,9/13/2021
U00164,36,Female,High School,Employed,Unemployed,4222,1798,418894,No,Personal,0,0,0,0,0,649,8,North America,7/20/2023
U00165,50,Male,Bachelor,Employed,Accountant,4380,2421,336264,No,Personal,0,0,0,0,0,698,6,Africa,2/16/2025
U00166,28,Female,Other,Employed,Doctor,5154,2666,210985,Yes,Education,293319,180,3219,10,1,725,3,Asia,7/4/2024
U00167,63,Male,Bachelor,Employed,Doctor,3616,2133,61676,Yes,Car,452053,36,15624,15,4,612,1,Africa,9/10/2024
U00168,23,Male,Bachelor,Employed,Accountant,6781,5091,537369,No,Personal,0,0,0,0,0,707,7,Africa,2/4/2024
U00169,59,Male,Bachelor,Employed,Manager,3867,2155,392730,Yes,Education,244298,300,1325,4,0,549,8,Asia,8/7/2022
U00170,38,Female,Bachelor,Employed,Teacher,4491,3321,297906,Yes,Business,468474,300,4264,10,1,612,6,Other,3/14/2025
U00171,38,Male,Master,Employed,Manager,1461,1268,169610,Yes,Education,76472,60,1791,14,1,626,10,North America,12/25/2023
U00172,34,Other,Bachelor,Employed,Accountant,1853,1436,123047,No,Personal,0,0,0,0,0,793,6,Europe,7/21/2025
U00173,18,Male,High School,Self-employed,Accountant,3103,1698,243715,No,Personal,0,0,0,0,0,643,7,Africa,1/16/2025
U00174,27,Other,Master,Employed,Student,8020,6603,528743,No,Personal,0,0,0,0,0,513,5,Other,4/21/2025
U00175,32,Female,Master,Employed,Accountant,7165,4548,478911,Yes,Car,454701,12,40730,14,6,526,6,Africa,10/12/2021
U00176,40,Female,Bachelor,Self-employed,Driver,4760,1987,111296,Yes,Business,396634,60,8517,10,2,371,2,North America,6/19/2022
U00177,64,Male,Master,Employed,Doctor,1542,1030,68384,No,Personal,0,0,0,0,0,339,4,North America,8/2/2023
U00178,45,Male,High School,Unemployed,Salesperson,4425,2497,328802,Yes,Business,59704,240,1453,29,0,408,6,Other,5/13/2023
U00179,38,Female,Bachelor,Student,Student,4780,1701,22410,No,Personal,0,0,0,0,0,681,0,Other,1/19/2024
U00180,52,Male,Master,Unemployed,Teacher,2455,900,224505,No,Personal,0,0,0,0,0,749,8,Africa,7/12/2023
U00181,61,Male,Bachelor,Unemployed,Salesperson,2803,2364,249695,Yes,Car,325923,180,6441,23,2,588,7,Africa,12/4/2021
U00182,33,Male,Bachelor,Employed,Student,7282,2915,575631,No,Personal,0,0,0,0,0,490,7,Asia,10/31/2022
U00183,21,Female,Bachelor,Employed,Salesperson,5028,4137,463608,No,Personal,0,0,0,0,0,506,8,Europe,4/28/2024
U00184,68,Female,Master,Employed,Teacher,4359,2477,243636,No,Personal,0,0,0,0,0,846,5,Asia,8/20/2021
U00185,47,Female,Bachelor,Employed,Manager,4664,2183,481185,Yes,Car,413193,36,16370,25,4,472,9,North America,11/11/2022
U00186,36,Female,High School,Self-employed,Doctor,4381,1568,131154,Yes,Business,142630,120,1967,11,0,633,2,North America,10/31/2024
U00187,21,Male,Master,Unemployed,Unemployed,3791,2945,20164,No,Personal,0,0,0,0,0,793,0,Europe,1/7/2024
U00188,38,Female,High School,Unemployed,Driver,3662,2172,325301,No,Personal,0,0,0,0,0,623,7,Asia,7/9/2025
U00189,34,Male,Other,Employed,Student,500,280,46568,No,Personal,0,0,0,0,0,325,8,Africa,3/17/2025
U00190,46,Male,PhD,Employed,Accountant,2624,1894,77168,No,Personal,0,0,0,0,0,839,2,Africa,11/17/2024
U00191,39,Female,Other,Employed,Manager,6958,4201,532519,Yes,Education,2458,180,18,4,0,766,6,Africa,12/28/2021
U00192,59,Other,Bachelor,Employed,Manager,5222,3039,283880,No,Personal,0,0,0,0,0,348,5,North America,3/2/2024
U00193,25,Male,High School,Employed,Salesperson,1099,591,7111,Yes,Business,44459,360,930,25,1,482,1,North America,6/24/2023
U00194,56,Female,Master,Student,Engineer,3366,1797,295939,No,Personal,0,0,0,0,0,408,7,Africa,5/5/2025
U00195,65,Male,Master,Student,Salesperson,4290,3054,63493,Yes,Car,331670,120,3727,6,1,711,1,Africa,2/16/2024
U00196,66,Male,High School,Employed,Student,2770,1517,215974,No,Personal,0,0,0,0,0,565,7,Europe,7/9/2025
U00197,68,Female,Master,Unemployed,Doctor,6663,4118,664213,No,Personal,0,0,0,0,0,557,8,North America,7/29/2023
U00198,58,Male,Bachelor,Employed,Salesperson,5524,2065,373212,Yes,Car,408545,180,8988,26,2,737,6,Asia,6/10/2023
U00199,35,Male,High School,Employed,Unemployed,3468,2702,343044,No,Personal,0,0,0,0,0,340,8,Asia,1/17/2025
U00200,65,Male,Bachelor,Employed,Engineer,6867,4226,425660,Yes,Car,72154,300,1421,24,0,447,5,Asia,1/29/2023
U00201,46,Female,Bachelor,Employed,Engineer,6444,4177,436218,Yes,Education,71136,120,908,9,0,643,6,Asia,8/18/2021
U00202,20,Other,Bachelor,Employed,Unemployed,4222,3612,212810,Yes,Home,378351,120,5171,11,1,784,4,Europe,9/13/2023
U00203,54,Female,Bachelor,Unemployed,Doctor,4029,1422,295288,Yes,Education,193370,180,3061,18,1,464,6,North America,5/6/2024
U00204,66,Female,High School,Employed,Student,4312,2433,160063,Yes,Car,89408,120,1296,12,0,832,3,Africa,2/28/2023
U00205,28,Female,Bachelor,Employed,Manager,2956,2275,261529,Yes,Home,285119,36,8993,8,3,819,7,Africa,2/7/2024
U00206,22,Male,Bachelor,Employed,Salesperson,5130,3383,221555,No,Personal,0,0,0,0,0,545,4,Other,7/15/2024
U00207,28,Female,High School,Self-employed,Accountant,3751,3333,219903,No,Personal,0,0,0,0,0,527,5,Asia,9/10/2022
U00208,50,Female,Bachelor,Self-employed,Accountant,1655,856,144656,No,Personal,0,0,0,0,0,381,7,Africa,8/17/2021
U00209,68,Female,Bachelor,Unemployed,Driver,3605,2929,192420,No,Personal,0,0,0,0,0,446,4,Asia,8/23/2022
U00210,22,Female,Master,Student,Teacher,3697,2167,306524,No,Personal,0,0,0,0,0,619,7,Other,9/3/2023
U00211,33,Female,Bachelor,Self-employed,Accountant,3753,2551,35277,Yes,Business,384692,360,7601,24,2,846,1,Europe,9/28/2021
U00212,57,Male,Master,Employed,Doctor,3287,1789,29722,Yes,Car,316413,24,13622,3,4,382,1,Asia,3/22/2022
U00213,55,Male,High School,Employed,Unemployed,785,345,27144,No,Personal,0,0,0,0,0,326,3,Other,9/8/2021
U00214,56,Male,Bachelor,Self-employed,Salesperson,2475,792,66065,No,Personal,0,0,0,0,0,580,2,North America,9/18/2021
U00215,40,Female,Bachelor,Unemployed,Unemployed,4419,1967,380139,No,Personal,0,0,0,0,0,707,7,Africa,9/2/2022
U00216,30,Female,Master,Employed,Teacher,3017,1147,229246,Yes,Business,201821,360,851,3,0,453,6,Europe,4/15/2023
U00217,49,Female,Master,Employed,Manager,2283,825,100447,Yes,Car,433407,60,12544,24,5,440,4,Asia,9/24/2023
